year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,WN,Southwest Airlines Co.,SLC,"Salt Lake City, UT: Salt Lake City International",1036.0,228.0,93.73,3.33,25.19,0.6,105.15,11.0,4.0,10047.0,3615.0,232.0,1024.0,58.0,5118.0
2023,8,WN,Southwest Airlines Co.,SMF,"Sacramento, CA: Sacramento International",2750.0,613.0,181.06,3.56,61.36,1.76,365.26,65.0,0.0,27797.0,7841.0,310.0,2063.0,65.0,17518.0
2023,8,WN,Southwest Airlines Co.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",1272.0,263.0,82.57,2.37,26.85,1.2,150.02,52.0,1.0,10773.0,3357.0,162.0,1002.0,47.0,6205.0
2023,8,WN,Southwest Airlines Co.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",291.0,67.0,26.36,0.0,17.27,0.0,23.36,9.0,1.0,2418.0,904.0,0.0,613.0,0.0,901.0
2023,8,WN,Southwest Airlines Co.,STL,"St. Louis, MO: St Louis Lambert International",3406.0,760.0,217.77,16.61,142.78,7.86,374.98,26.0,1.0,33766.0,8898.0,1118.0,5159.0,239.0,18352.0
2023,8,WN,Southwest Airlines Co.,SYR,"Syracuse, NY: Syracuse Hancock International",97.0,31.0,17.03,0.27,2.0,0.0,11.7,1.0,1.0,1141.0,567.0,42.0,54.0,0.0,478.0
2023,8,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",1964.0,429.0,136.32,6.33,70.23,1.07,215.05,103.0,9.0,20620.0,5743.0,399.0,2897.0,51.0,11530.0
2023,8,WN,Southwest Airlines Co.,TUL,"Tulsa, OK: Tulsa International",476.0,107.0,38.66,0.73,9.08,0.0,58.53,3.0,1.0,4768.0,1503.0,27.0,414.0,0.0,2824.0
2023,8,WN,Southwest Airlines Co.,TUS,"Tucson, AZ: Tucson International",323.0,99.0,30.41,0.62,16.22,1.0,50.74,5.0,1.0,3991.0,1268.0,23.0,551.0,46.0,2103.0
2023,8,WN,Southwest Airlines Co.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",186.0,27.0,6.47,0.52,5.11,0.0,14.9,1.0,0.0,938.0,160.0,17.0,162.0,0.0,599.0
2023,7,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",977.0,319.0,81.35,3.56,38.85,0.0,195.25,8.0,0.0,13867.0,3039.0,195.0,1203.0,0.0,9430.0
2023,7,WN,Southwest Airlines Co.,ALB,"Albany, NY: Albany International",284.0,114.0,41.04,3.73,15.92,0.0,53.31,2.0,1.0,7193.0,2188.0,309.0,853.0,0.0,3843.0
